Code,Child Category,Parent Category
10100000,Live animals,Live Plant and Animal Material and Accessories and Supplies
10110000,Domestic pet products,Live Plant and Animal Material and Accessories and Supplies
10120000,Animal feed,Live Plant and Animal Material and Accessories and Supplies
10130000,Animal containment and habitats,Live Plant and Animal Material and Accessories and Supplies
10140000,Saddlery and harness goods,Live Plant and Animal Material and Accessories and Supplies
10150000,Seeds and bulbs and seedlings and cuttings,Live Plant and Animal Material and Accessories and Supplies
10160000,Floriculture and silviculture products,Live Plant and Animal Material and Accessories and Supplies
10170000,Fertilisers and plant nutrients and herbicides,Live Plant and Animal Material and Accessories and Supplies
10190000,Pest control products,Live Plant and Animal Material and Accessories and Supplies
11100000,Minerals and ores and metals,Mineral and Textile and Inedible Plant and Animal Materials
11110000,Earth and stone,Mineral and Textile and Inedible Plant and Animal Materials
11120000,Non edible plant and forestry products,Mineral and Textile and Inedible Plant and Animal Materials
11130000,Non edible animal products,Mineral and Textile and Inedible Plant and Animal Materials
11140000,Scrap and waste materials,Mineral and Textile and Inedible Plant and Animal Materials
11150000,Fibres and threads and yarns,Mineral and Textile and Inedible Plant and Animal Materials
11160000,Fabrics and leather materials,Mineral and Textile and Inedible Plant and Animal Materials
11170000,Alloys,Mineral and Textile and Inedible Plant and Animal Materials
11180000,Metal oxide,Mineral and Textile and Inedible Plant and Animal Materials
11190000,Metal waste and scrap,Mineral and Textile and Inedible Plant and Animal Materials
12130000,Explosive materials,Chemicals including Bio Chemicals and Gas Materials
12140000,Elements and gases,Chemicals including Bio Chemicals and Gas Materials
12160000,Additives,Chemicals including Bio Chemicals and Gas Materials
12170000,Colourants,Chemicals including Bio Chemicals and Gas Materials
12180000,Waxes and oils,Chemicals including Bio Chemicals and Gas Materials
12190000,Solvents,Chemicals including Bio Chemicals and Gas Materials
12350000,Compounds and mixtures,Chemicals including Bio Chemicals and Gas Materials
13100000,Rubber and elastomers,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials
13110000,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials
14100000,Paper materials,Paper Materials and Products
14110000,Paper products,Paper Materials and Products
14111500,Printing and writing paper,Paper Materials and Products
14111509,Stationery,Paper Materials and Products
14120000,Industrial use papers,Paper Materials and Products
14121503,Cardboard,Paper Materials and Products
15100000,Fuels,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
15110000,Gaseous fuels and additives,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
15120000,Lubricants and oils and greases and anti corrosives,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
15130000,Fuel for nuclear reactors,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials
20100000,Mining and quarrying machinery and equipment,Mining and Well Drilling Machinery and Accessories
20110000,Well drilling and operation equipment,Mining and Well Drilling Machinery and Accessories
20120000,Oil and gas drilling and exploration equipment,Mining and Well Drilling Machinery and Accessories
20130000,Oil and gas drilling and operation materials,Mining and Well Drilling Machinery and Accessories
21100000,Agricultural and forestry and landscape machinery and equipment,Farming and Fishing and Forestry and Wildlife Machinery and Accessories
21110000,Fishing and aquaculture equipment,Farming and Fishing and Forestry and Wildlife Machinery and Accessories
22100000,Heavy construction machinery and equipment,Building and Construction Machinery and Accessories
23100000,Raw materials processing machinery,Industrial Manufacturing and Processing Machinery and Accessories
23120000,Textile and fabric machinery and accessories,Industrial Manufacturing and Processing Machinery and Accessories
23130000,Lapidary machinery and equipment,Industrial Manufacturing and Processing Machinery and Accessories
23140000,Leatherworking repairing machinery and equipment,Industrial Manufacturing and Processing Machinery and Accessories
23150000,Industrial process machinery and equipment and supplies,Industrial Manufacturing and Processing Machinery and Accessories
23160000,Foundry  machines and equipment and supplies,Industrial Manufacturing and Processing Machinery and Accessories
23180000,Industrial food and beverage equipment,Industrial Manufacturing and Processing Machinery and Accessories
23190000,Mixers and their parts and accessories,Industrial Manufacturing and Processing Machinery and Accessories
23200000,Mass transfer equipment,Industrial Manufacturing and Processing Machinery and Accessories
23210000,Electronic manufacturing machinery and equipment and accessories,Industrial Manufacturing and Processing Machinery and Accessories
23220000,Chicken processing machinery and equipment,Industrial Manufacturing and Processing Machinery and Accessories
23230000,Sawmilling and lumber processing machinery and equipment,Industrial Manufacturing and Processing Machinery and Accessories
24100000,Material handling machinery and equipment,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
24102000,Shelving and storage,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
24110000,Containers and storage,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
24120000,Packaging materials,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
24130000,Industrial refrigeration,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
24140000,Packing supplies,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies
25100000,Motor vehicles,Commercial and Military and Private Vehicles and their Accessories and Components
25101500,Passenger motor vehicles,Commercial and Military and Private Vehicles and their Accessories and Components
25101600,Product and material transport vehicles,Commercial and Military and Private Vehicles and their Accessories and Components
25101700,Safety and rescue vehicles,Commercial and Military and Private Vehicles and their Accessories and Components
25101801,Motorcycles,Commercial and Military and Private Vehicles and their Accessories and Components
25101900,Specialised and recreational vehicles,Commercial and Military and Private Vehicles and their Accessories and Components
25102000,War vehicles,Commercial and Military and Private Vehicles and their Accessories and Components
25102100,Truck tractors,Commercial and Military and Private Vehicles and their Accessories and Components
25110000,Marine transport,Commercial and Military and Private Vehicles and their Accessories and Components
25111500,Commercial marine craft,Commercial and Military and Private Vehicles and their Accessories and Components
25111700,Military watercraft,Commercial and Military and Private Vehicles and their Accessories and Components
25111900,Marine craft systems and subassemblies,Commercial and Military and Private Vehicles and their Accessories and Components
25120000,Railway and tramway machinery and equipment,Commercial and Military and Private Vehicles and their Accessories and Components
25130000,Aircraft,Commercial and Military and Private Vehicles and their Accessories and Components
25131500,Powered fixed wing aircraft,Commercial and Military and Private Vehicles and their Accessories and Components
25131600,Civilian and commercial rotary wing aircraft,Commercial and Military and Private Vehicles and their Accessories and Components
25131700,Military fixed wing aircraft,Commercial and Military and Private Vehicles and their Accessories and Components
25131707,Reconnaissance or surveillance aircraft,Commercial and Military and Private Vehicles and their Accessories and Components
25131800,Specialty aircraft,Commercial and Military and Private Vehicles and their Accessories and Components
25131900,Military rotary wing aircraft,Commercial and Military and Private Vehicles and their Accessories and Components
25132000,Recreational aircraft,Commercial and Military and Private Vehicles and their Accessories and Components
25150000,Spacecraft,Commercial and Military and Private Vehicles and their Accessories and Components
